ENSG00000243485	MIR1302-2HG
ENSG00000237613	FAM138A
ENSG00000186092	OR4F5
ENSG00000238009	AL627309.1
ENSG00000239945	AL627309.3
ENSG00000239906	AL627309.2
ENSG00000241599	AL627309.4
ENSG00000236601	AL732372.1
ENSG00000284733	OR4F29
ENSG00000235146	AC114498.1
ENSG00000284662	OR4F16
ENSG00000229905	AL669831.2
ENSG00000237491	AL669831.5
ENSG00000177757	FAM87B
ENSG00000225880	LINC00115
ENSG00000230368	FAM41C
ENSG00000272438	AL645608.7
ENSG00000230699	AL645608.3
ENSG00000241180	AL645608.5
ENSG00000223764	AL645608.1
ENSG00000187634	SAMD11
ENSG00000188976	NOC2L
ENSG00000187961	KLHL17
ENSG00000187583	PLEKHN1
ENSG00000187642	PERM1
ENSG00000272512	AL645608.8
ENSG00000188290	HES4
ENSG00000187608	ISG15
ENSG00000224969	AL645608.2
ENSG00000188157	AGRN
ENSG00000273443	AL645608.9
ENSG00000237330	RNF223
ENSG00000131591	C1orf159
ENSG00000223823	LINC01342
ENSG00000272141	AL390719.2
ENSG00000205231	TTLL10-AS1
ENSG00000162571	TTLL10
ENSG00000186891	TNFRSF18
ENSG00000186827	TNFRSF4
ENSG00000078808	SDF4
ENSG00000176022	B3GALT6
ENSG00000184163	C1QTNF12
ENSG00000260179	AL162741.1
ENSG00000160087	UBE2J2
ENSG00000230415	LINC01786
ENSG00000162572	SCNN1D
ENSG00000131584	ACAP3
ENSG00000169972	PUSL1
ENSG00000127054	INTS11
ENSG00000224051	CPTP
ENSG00000169962	TAS1R3
ENSG00000107404	DVL1
ENSG00000162576	MXRA8
ENSG00000175756	AURKAIP1
ENSG00000221978	CCNL2
ENSG00000242485	MRPL20
ENSG00000272455	AL391244.3
ENSG00000235098	ANKRD65
ENSG00000225905	AL391244.2
ENSG00000205116	TMEM88B
ENSG00000225285	LINC01770
ENSG00000179403	VWA1
ENSG00000215915	ATAD3C
ENSG00000160072	ATAD3B
ENSG00000197785	ATAD3A
ENSG00000205090	TMEM240
ENSG00000160075	SSU72
ENSG00000215014	AL645728.1
ENSG00000228594	FNDC10
ENSG00000272106	AL691432.2
ENSG00000197530	MIB2
ENSG00000189409	MMP23B
ENSG00000248333	CDK11B
ENSG00000272004	FO704657.1
ENSG00000189339	SLC35E2B
ENSG00000008128	CDK11A
ENSG00000215790	SLC35E2A
ENSG00000008130	NADK
ENSG00000078369	GNB1
ENSG00000231050	AL109917.1
ENSG00000169885	CALML6
ENSG00000178821	TMEM52
ENSG00000142609	CFAP74
ENSG00000233542	AL391845.2
ENSG00000187730	GABRD
ENSG00000226969	AL391845.1
ENSG00000067606	PRKCZ
ENSG00000271806	AL590822.2
ENSG00000182873	PRKCZ-AS1
ENSG00000162585	FAAP20
ENSG00000234396	AL590822.1
ENSG00000157933	SKI
ENSG00000116151	MORN1
ENSG00000157916	RER1
ENSG00000157911	PEX10
ENSG00000149527	PLCH2
ENSG00000224387	AL139246.1
ENSG00000229393	AL139246.4
ENSG00000157881	PANK4
ENSG00000197921	HES5
ENSG00000272449	AL139246.5
ENSG00000238164	TNFRSF14-AS1
ENSG00000157873	TNFRSF14
ENSG00000228037	AL139246.3
ENSG00000157870	FAM213B
ENSG00000142606	MMEL1
ENSG00000237058	AL831784.1
ENSG00000215912	TTC34
